,Estado,FechasFechaPublicacion,Nombre,CompradorNombreOrganismo,CompradorCodigoOrganismo,AdjudicacionUrlActa,CodigoExterno
1606,Desierta o art 3 o 9 Ley 19 886,2016-11-02T15:47:00.757,DESNATURALIZACION DE PLACAS PARA FISH,Hospital Doctor Luis Calvo Mackenna,6918,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=yLCuyr7HEAQBtDWbd+Pusc+aJMA1g+zhn/Qzec6UIqY=,2252-200-LE16
4344,Desierta o art 3 o 9 Ley 19 886,2016-11-02T16:27:37.627,EQUPAMIENTO MEDICO UCI ADULTO DEL HOSPITAL DE CARABINEROS,Carabineros de Chile,113812,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=xQhsNH//vOxRb1/A2MbpZJS8xVIWM7jirILrBXcE7CY=,4642-164-L116
2993,Desierta o art 3 o 9 Ley 19 886,2016-11-02T16:43:42.75,Asistencia Tecnica para el Fortalecimiento del PRBIPE de Lota,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=rKf+x1QQs655+uo9XUnZkiRTEtZgmUpSk/jRdStZvC4=,3020-35-LE16
4970,Desierta o art 3 o 9 Ley 19 886,2016-11-02T16:47:00,BAJADAS DE ALIMENTACION Y EQUIPOS DE INFUSION EN COMODATO,Hospital Dr Gustavo Fricke,6936,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=FINYefeFM9KX11dwoq8FM0VNQE+kIIBD4aIQY8otVwY=,608-710-LQ16
3945,Desierta o art 3 o 9 Ley 19 886,2016-11-02T17:09:48.823,ADQUISICON DE PREMIOS ESPECIALES Y SET DE MEDALLAS,Ilustre Municipalidad de Laguna Blanca,119999,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=guzsn+aJtgnizor5JutgAhUdF4keHr8zaTZmw/SyWNg=,4052-50-L116
3946,Adjudicada,2016-11-16T12:32:21.723,ADQUISICON DE PREMIOS ESPECIALES Y SET DE MEDALLAS,Ilustre Municipalidad de Laguna Blanca,119999,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=C3n/xq/NOYzIEQq3reRrMxYqYIdNjazwDGYJNRiXSEY=,4052-55-L116
1199,Desierta o art 3 o 9 Ley 19 886,2016-11-02T17:11:00,CONSERVACION DE INFRAESTRUCTURA SALAS DE URGECIA,Hospital Angol,7306,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=nXfUjtMVCqJp2GMTu5h6WAWWum083tIABLG6Ofan+Rc=,2060-177-LP16
2386,Desierta o art 3 o 9 Ley 19 886,2016-11-02T17:22:00.403,ADQUISICION DE CORDONETAS PALACIO COUSINO,MUNICIPALIDAD DE SANTIAGO,86568,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hzyXWWrwJnZAVESobo6eo6O1jssoRcev1zKyF5JU6mg=,2582-104-LE16
2377,Desierta o art 3 o 9 Ley 19 886,2016-11-02T17:51:05.62,ADQUISICION DE LETREROS GUIAS,Direccion General de Aeronautica Civil,7202,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=7Qu6hAvS8lR6o5qev2Yc93n3OtAX6WJfhhKKXqFV7/I=,2562-32-LQ16
1413,Desierta o art 3 o 9 Ley 19 886,2016-11-02T18:05:46.247,CONTRATACION DE SERVICIOS DE MATRONAS ASISTENTE SOCIAL Y PSICOLOGO PARA LA REALIZACION DE PROG DE ESPACIOS PARA ADOLECENTES EN HOSPITALES COMUNITARIOS,Hospital Andacollo,7472,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=saLy8d1f2Z3OfktvF5AVg8F6IqS2Okq7eFg0/rY/KFI=,2146-68-LE16
5027,Desierta o art 3 o 9 Ley 19 886,2016-11-02T18:15:47.473,TRABAJOS VARIOS ESSMA SUR OT S N s 014881 014898 014900 014899 017857 017887 017896,Servicio de Salud Arica,6926,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=SKqNh1YaR0rTzKkJNuSSjLrzOhmpOXOF7BPVXHwmxr0=,635-253-L116
4470,Desierta o art 3 o 9 Ley 19 886,2016-11-02T18:37:24.3,MATERIALES MAPUCHES TECNOLOGICOS Y OTROS,Ilustre Municipalidad de Tirua,183037,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=FKmS1LyhIoUF7JHlzxhW78xdotimGYipcQF56nshNfU=,4857-59-LE16
5151,Desierta o art 3 o 9 Ley 19 886,2016-11-02T18:54:11.94,CONVENIO Y SUMINISTRO DE ACCESORIOS,Hospital Dr Felix Bulnes Cerda,7383,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=QeDqNSSSLhQYUTN9M8/Ai+G451IESAuy6SGdK49wfRA=,705291-112-LQ16
5424,Desierta o art 3 o 9 Ley 19 886,2016-11-02T19:58:08.873,ADQUISICION DE DISPENSADOR Y SUMINISTRO DE BOTELLON CFLL,Gobernacion Provincial de Los Andes,7009,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hioOX1Mlx7fxgeVjF6BZc46O8zxi548ccue8eb6lCns=,92-33-L116
5426,Desierta o art 3 o 9 Ley 19 886,2016-11-15T10:36:37.26,ADQUISICION DE DISPENSADOR Y SUMINISTRO DE BOTELLON CFLL,Gobernacion Provincial de Los Andes,7009,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=PDH/SqeJuPRs3TGfhSvm2fUF0tXjLuN/daZs8ZbDxjY=,92-35-L116
1393,Desierta o art 3 o 9 Ley 19 886,2016-11-03T08:36:00,PPTA 223 16 COMPRA DE EXAMENES E INFORMES DE SCANNER PARA PACIENTES DEL HOSPITAL,Hospital Doctor Hernan Henriquez Aravena,7046,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=acd2FOTR+O+jjwCtVJT2+ZZvyGSn28DYbZZaXtAX4hs=,2133-155-LQ16
2322,Desierta o art 3 o 9 Ley 19 886,2016-11-03T08:41:29.037,BALDOSAS PISO FLOTANTE Y ESPUMA NIVELADORA,I Municipalidad de Chillan,88254,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=LLWOjh1BoOiHHTkCo5PGPVueAOZrol01sMG5BOLK6Ug=,2471-261-L116
4842,Desierta o art 3 o 9 Ley 19 886,2016-11-03T09:04:23.79,830 Sala Cuna y J Infantil Suc IPS Villarrica,INSTITUTO DE PREVISION SOCIAL,1090469,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Ek1DQtAEAvpfoWqTsd+n53/kI+wKs8B1K8ulWa9HQ3k=,548866-7-LE16
2413,Desierta o art 3 o 9 Ley 19 886,2016-11-03T10:22:35.42,ADQ ABRAZADERAS MANGUERAS Y TELAS D A N 8797/16 EVENTOS BFL IMA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=CiF09LmAh1Ef2QWfOIu0JzQh1uB7uNxOuUHJ1ba6YKY=,2585-435-L116
4472,Desierta o art 3 o 9 Ley 19 886,2016-11-03T10:23:00,Adquisicion para insumos de Plateria Mapuche,Ilustre Municipalidad de Tirua,183037,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=qLL7S6nvqW9KtaMIYhIKeaMaZW06HimjZ/4Cd1xHeIg=,4858-252-L116
2776,Desierta o art 3 o 9 Ley 19 886,2016-11-03T11:11:17.193,Adquisicion Productos y Materiales de Laboratorio,universidad de atacama,103916,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=bqNokJMbN3Uj0gtULTHJx1sfjCutpFgsn97VTsnUVqg=,2859-52-L116
873,Desierta o art 3 o 9 Ley 19 886,2016-11-03T11:25:31.503,INSUMOS CIRUGIA DIGESTIVA,Hospital Clinico San Borja Arriaran,7326,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hyciK9etD79M6b0MYaMgpudyGYmpgcY1+4vnNzdM6Ss=,1669-1472-L116
2412,Desierta o art 3 o 9 Ley 19 886,2016-11-03T11:27:14.59,SS ARRIENDO DE TRINEO Y BANOS QUIMICOS D A N 8420/16 EVENTOS BFL IMA,ILUSTRE MUNICIPALIDAD DE ARICA,86624,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=7lrtIA0S660kigGcguQLJoE0c9CxyVO0UOHAj66U9NQ=,2585-427-L116
3474,Desierta o art 3 o 9 Ley 19 886,2016-11-03T11:41:49.547,ADQUISICION DE MEDICAMENTOS,Ilustre Municipalidad de Vicuna,115303,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=fEwt/Fb+9GJWB6Rs+levK4ul5N5MtRpLqiT2kctjgBI=,3614-34-L116
3475,Adjudicada,2016-11-10T17:10:50.44,ADQUISICION DE MEDICAMENTOS,Ilustre Municipalidad de Vicuna,115303,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ngsxBe+VyhyokehSm+aYE/DH98CwfYU/93yhUiIoJf0=,3614-36-L116
712,Desierta o art 3 o 9 Ley 19 886,2016-11-03T12:02:08.903,Juguetes a entregar a ninos as en navidad 2016 sm00587,Ilustre Municipalidad de Diego de Almagro,7454,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=szxFdgIsMguCqt41H1TL1hNGa1WIUhnRkxEbK4/S1TU=,1638-283-LE16
5313,Desierta o art 3 o 9 Ley 19 886,2016-11-03T13:09:00,Adquisicion e instalacion de cierros perimetrales,Junta Nacional de Jardines Infantiles JUNJI,6928,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=atsBKfBYvPmTbgak+fVsbQjI79FhAmFTgei5+oELlOI=,847-37-LP16
2087,Desierta o art 3 o 9 Ley 19 886,2016-11-03T13:33:20.217,ADQ VESTUARIO DE ZUMBA PARA ESC D 953 SEP,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=lbvUzaV9lL4KHJciFVdId9zrbORQ6zs1MAqvUGCUokg=,2409-814-L116
2094,Adjudicada,2016-11-09T12:38:10.207,ADQ VESTUARIO DE ZUMBA PARA ESC D 953 SEP,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=k/E4nrONj5nIVxDemTjHhSd63qlLyssk4YpRXs3duCA=,2409-834-L116
3063,Desierta o art 3 o 9 Ley 19 886,2016-11-03T15:31:46.61,MAQUINAS Y HERRAMIENTAS,Ilustre Municipalidad de Collipulli,113853,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Jr/0J5f2YPHA/hwr5DPoVFo526GQr1i22ajZvSG2mJQ=,3153-37-L116
102,Desierta o art 3 o 9 Ley 19 886,2016-11-03T15:33:34.683,CONTRATO DE SUMINISTRO DE CARNES PARA JARDIN HEIDI 2do LLAMADO,Servicio de Salud Concepcion,7205,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=r5KuhKsHSdTheMrZHAMxXFSLTtN6wWqZaaTn2ofH8uE=,1213-132-L116
3733,Desierta o art 3 o 9 Ley 19 886,2016-11-03T15:40:15.96,Seguros de Bienes Municipales Segundo Llamado,Ilustre Municipalidad de Placilla,118087,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4lgMgM70vdOm9/+irMhlZwRMZvt59I5m+MWCXVcsMi0=,3889-49-LE16
871,Desierta o art 3 o 9 Ley 19 886,2016-11-03T15:55:35.49,SERVICIO PROCEDIMIENTO VASCULAR DIAGNOSTICO,Hospital Guillermo Grant Benavente,7324,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Q0LjLi6pYwfm5Gsf1px/IJN5nol0GXRAZSAKA41Ujsg=,1667-96-LQ16
5321,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:15:21.72,GRUPO MR23 2 / BATERIA Y JOYSTICK/PR//,Servicio Nacional de la Discapacidad,7184,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=gSaovSSh1v4pgb8ZFPrimrg0xjaSHrWug/lyNz1IGT4=,857-508-L116
5322,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:15:26.147,GRUPO MR35/ BATERIAS Y JOYSTICK / CHS//,Servicio Nacional de la Discapacidad,7184,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=qT+dbxlejigNrNXBy4UFo8t+KSePa2mpwLrzaxZIcNM=,857-509-L116
4450,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:21:16.397,CONVENIO SUMINISTRO MEDICINA NUCLEAR 2016,Complejo Asistencial Dr Sotero del Rio,7320,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=uhilRVWF2EuNJcpXGsSOzS3Ib4EDXHdD78a004jJ8ZM=,4855-195-LQ16
2343,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:27:43.83,LIBROS ESCUELA PORVENIR,ILUSTRE MUNICIPALIDAD DE RIO CLARO,89591,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=t9glfO83niZsiTTJovdLxSw2JcFD/36ouCzIB1o9Y5o=,2504-41-L116
5351,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:42:02.7,Convenio de Suministro de Farmacos Antibioticos Comprimidos Jarabes Gotas y Otros para el Hospital Carlos Van Buren,Hospital Carlos Van Buren,1468521,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=VQnfMP7aG9EmIihHjWcUj0BLQLZK3qojJUNahhE4CEA=,873299-93-LQ16
3375,Desierta o art 3 o 9 Ley 19 886,2016-11-03T16:51:00,Mantencion y Calibracion de Balanzas digitales,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hEyOMcmNcwkq6905JLqHKhKl9NEHyu1fS9TJIMWIXWo=,3540-271-L116
2089,Desierta o art 3 o 9 Ley 19 886,2016-11-03T17:04:55.637,ADQ DE REPUESTOS PARA MOVIL 57,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Vs7X3MFQt9hLJHLw0klPqETd/Df0cFy90TuZ7aFrXkw=,2409-820-L116
4499,Desierta o art 3 o 9 Ley 19 886,2016-11-03T17:13:12.06,Conv Sumstro Radiofarmaco Medicina Nuclear,Hospital de Copiapo,7411,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=eIYzHOGOixYF3dw3yBf7tHomJN50Y1B94OvbyCRzxnY=,494-5-LQ16
4500,Adjudicada,2016-11-23T12:26:36.593,Conv Sumstro Radiofarmaco Medicina Nuclear,Hospital de Copiapo,7411,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=m421Rp1HxEMt30TEKnyrMNoyw21gZLdNvBBQHjuFzhA=,494-6-LQ16
3268,Desierta o art 3 o 9 Ley 19 886,2016-11-03T17:16:00,ARRIENDO DE JUEGOS INFLABLES G 372,IMUNICIPALIDAD DE NUEVA IMPERIAL,114924,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=dVyOMUpNf3c4emgeCO+F7mLS8UJThQCQW+P1gj/T+uc=,3448-59-L116
2088,Desierta o art 3 o 9 Ley 19 886,2016-11-03T17:18:46.15,ADQ DE ENTRADAS Y ALIMENTACION PARQUE ESC F 933,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DNCIHb11F+2C1K8cocwFILQc0CfXPEjCTl04ybRpsQ0=,2409-817-L116
2128,Adjudicada,2016-11-24T09:36:53.133,ADQ DE ENTRADAS Y ALIMENTACION PARQUE ESC F 933,Municipalidad de Los Angeles,87187,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Ee6ikj6WrY3ok8EE7F+UT0XRE+Z+SKSW5q5WDSZJyzQ=,2409-898-L116
4363,Desierta o art 3 o 9 Ley 19 886,2016-11-03T17:59:11.203,Vestimenta para Huaso y China Esc El Remanso,Ilustre Municipalidad de El Monte,116741,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=0GF8MFuVB+otG6dEPLQT+kxjupI61+tnMbVHWjgrSfw=,4703-106-L116
4558,Desierta o art 3 o 9 Ley 19 886,2016-11-03T19:01:41.2,S661 Adquisicion de 1 Bicicleta estatica modelo oxford y 1 Monitor Cardiaco modelo polar,Municipalidad de Temuco,7321,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=VMx+EW3hJyL4I4okaVQyrtDQyEXyYKF2LKqRzjm2LJQ=,5061-225-L116
1759,Desierta o art 3 o 9 Ley 19 886,2016-11-04T10:41:29.38,ADQUISICION 03 ESPIROMETROS Y 03 JERINGAS DE CALIBRACION SALAS ERA APS TALCA,I MUNICIPALIDAD DE TALCA,84480,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hz9JJrbjogPmHAyGNZQ2Iyc5P2O13hfaI2rHVjPy2HM=,2292-69-LE16
3936,Desierta o art 3 o 9 Ley 19 886,2016-11-04T10:44:40.487,ADQUISICION MATERIAL TALLER DE CIRCO TEATRO,Ilustre Municipalidad de Fresia,119651,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=iNMM6+4So38Xk/uOEOMHvoHdXMwKKHBo9Tuhl48z1ac=,4041-86-L116
4294,Desierta o art 3 o 9 Ley 19 886,2016-11-04T10:49:07.693,MATERIALES CONSTRUCCION HAB SALA DISCAPACIDAD EDLI,Ilustre Municipalidad de Penco,142575,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=nDur58107v2UKngMA5b/RcDT9zJCY5Cal+nNykLHZvY=,4494-99-L116
3975,Desierta o art 3 o 9 Ley 19 886,2016-11-04T11:06:14.33,Materiales Movamonos por la Educacion Pensylvania,ILUSTRE MUNICIPALIDAD DE MAULLIN,120791,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ED5tSUDFedJ9Xd9hWY599/dQv+5SPeJo59w8mpt9vgQ=,4091-123-L116
2309,Desierta o art 3 o 9 Ley 19 886,2016-11-04T11:42:04.657,UNIFORMES PARA PERSONAL DEL CENTRO DE SALUD MENTAL COMUNITARIO,I Municipalidad de Chillan,88254,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=0LnCL730BDCTsPDH+oCRaKiczBTOK62+n5CmLTiabIw=,2470-218-L116
1483,Desierta o art 3 o 9 Ley 19 886,2016-11-04T12:45:53.687,Adquisicion de Equipamiento CESFAM Rio Claro,Servicio de Salud del Maule,7141,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=49bmXd1glsR2JG72LF6mUcmunjmXK02j4Ii1YtjWU/4=,2189-210-L116
3735,Desierta o art 3 o 9 Ley 19 886,2016-11-04T13:01:29.74,INSUMOS AGROPECUARIOS A USUARIOS PRODESAL FREIRE 2,Ilustre Municipalidad de Freire,118089,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=okEHiPK1pMoaAenXwH3CRfQzOx5JHZGBiL5Z4UJ9FGQ=,3890-266-L116
3736,Desierta o art 3 o 9 Ley 19 886,2016-11-04T13:34:32.863,TALLER LIDERAZGO Y ORDENAMIENTO PREDIAL A DIF U O,Ilustre Municipalidad de Freire,118089,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=TSMKNooGpYrztSO+b1cJtF2kuULIZgIvnBcOWymdyKM=,3890-267-L116
399,Desierta o art 3 o 9 Ley 19 886,2016-11-04T14:33:44.7,Serv Arriendo de salon Alimentacion dialogo Ciuda,Servicio de Salud Atacama,7409,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=uPYyWuyLIZX0eY258jfHq9IUnbswFxTtd3EfRLeAu0Y=,1552-62-L116
1956,Desierta o art 3 o 9 Ley 19 886,2016-11-04T15:26:22.79,OS 3613,I MUNICIPALIDAD DE COPIAPO,86872,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=g0Fl47igI/WHFC7Cn93jgWKbwMRu4HZupA/O30i7JMc=,2380-101-L116
4171,Desierta o art 3 o 9 Ley 19 886,2016-11-04T15:31:39.54,Servicio Traslado de pasajeros Buses Olimpiadas 2016,Ilustre Municipalidad de Nacimiento,135561,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=zC4h79bFyhZElTRrkVXS1c/aNb+GN3/lJ9XnDPBbL/g=,4359-34-L116
2728,Desierta o art 3 o 9 Ley 19 886,2016-11-04T15:37:20.117,MATERIALES Y MAQUINAS PROGRAMA 4 A 7,ILUSTRE MUNICIPALIDAD DE PAINE,100728,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=8aFMPt0YIDuZ0wTY48SY/57ZVSGwuTDVe0sW24pMWuw=,2788-387-L116
3071,Desierta o art 3 o 9 Ley 19 886,2016-11-04T16:08:26.097,ARTICULOS PARA CAPITANIA DE PUERTO DE HUASCO,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4o18JBafabKg+RiWkEXU1sZCpPLRx3sDitedGz/CbWM=,3175-40-L116
3073,Desierta o art 3 o 9 Ley 19 886,2016-11-15T12:34:49.143,ARTICULOS PARA CAPITANIA DE PUERTO DE HUASCO,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=vTwOruDLS4IxMBFYrTLWkQqdTwcUCEH3sLYSB4QgHbM=,3175-43-L116
